Avfallshanteringsverk;Kunta;;;
Kommunen / kontraktsbaserat;Rääkkylä;Kiteen jätehuolto;elinvoimalautakunnan lupajaosto;
Åland;Saltvik;;;
Åland;Sottunga;;;
Åland;Sund;;;
Kommunen / kontraktsbaserat;Taivalkoski;Kommunen / Taivalkoski jätehuolto ja hinaus OY;;
Kommunen / kontraktsbaserat;Taivassalo;Taivassalon Jätehuolto Oy;Tekninen lautakunta;https://www.taivassalo.fi/asuminen/jatehuolto
Kommunen / kontraktsbaserat;Tohmajärvi;Kiteen jätehuolto;;https://www.tohmajarvi.fi/j%C3%A4tehuolto
Lakeuden EKO;Tyrnävä;;;
Lakeuden EKO;Utajärvi;;;
Lounais-Suomen Jätehuolto;Uusikaupunki;1.1.2022*;;
Kommunen / kontraktsbaserat;Vehmaa;Liittymässä mahdollisesti Lounais-Suomen Jätehuolto;;
Åland;Vårdö;;;
